dataset,sequence,method,kappa_bin,n,rmse_vs_ref
HeLiPR,riverside05,family_a_W5,2e-02-1e-01,635,0.024332588855540717
HeLiPR,riverside05,family_a_W5,1e-01-1e+00,1940,0.005959737545035773
HeLiPR,roundabout01,central,0e+00-1e-03,3521,0.028921549207837474
HeLiPR,roundabout01,central,1e-03-5e-03,4550,0.02567960484269802
HeLiPR,roundabout01,central,5e-03-2e-02,4138,0.023590429207241234
HeLiPR,roundabout01,central,2e-02-1e-01,3498,0.02159839822979454
HeLiPR,roundabout01,central,1e-01-1e+00,11589,0.00805346254833659
HeLiPR,roundabout01,family_a_W5,0e+00-1e-03,3521,0.025905388984489835
HeLiPR,roundabout01,family_a_W5,1e-03-5e-03,4550,0.022552404234929248
HeLiPR,roundabout01,family_a_W5,5e-03-2e-02,4138,0.01855590990514387
HeLiPR,roundabout01,family_a_W5,2e-02-1e-01,3498,0.021925126907653827
HeLiPR,roundabout01,family_a_W5,1e-01-1e+00,11589,0.008150001592816558
HeLiPR,town01,central,0e+00-1e-03,2422,0.039997528597918226
HeLiPR,town01,central,1e-03-5e-03,5009,0.03076975096997916
HeLiPR,town01,central,5e-03-2e-02,5826,0.02809706834909203
HeLiPR,town01,central,2e-02-1e-01,4629,0.027207597025663683
HeLiPR,town01,central,1e-01-1e+00,6254,0.01541871032791026
HeLiPR,town01,family_a_W5,0e+00-1e-03,2422,0.023317461134734457
HeLiPR,town01,family_a_W5,1e-03-5e-03,5009,0.02323665928598435
HeLiPR,town01,family_a_W5,5e-03-2e-02,5826,0.027734560750448726
HeLiPR,town01,family_a_W5,2e-02-1e-01,4629,0.027291247501069406
HeLiPR,town01,family_a_W5,1e-01-1e+00,6254,0.015590258297235211
Oxford,2014-11-11-11-06-25_rtk,central,0e+00-1e-03,4661,0.3470594065030564
Oxford,2014-11-11-11-06-25_rtk,central,1e-03-5e-03,5430,0.32434540582541166
Oxford,2014-11-11-11-06-25_rtk,central,5e-03-2e-02,3115,0.2673647753914604
Oxford,2014-11-11-11-06-25_rtk,central,2e-02-1e-01,2235,0.20973779048824065
Oxford,2014-11-11-11-06-25_rtk,central,1e-01-1e+00,3320,0.06680981082848858
Oxford,2014-11-11-11-06-25_rtk,family_a_W5,0e+00-1e-03,4661,0.2173606135637144
Oxford,2014-11-11-11-06-25_rtk,family_a_W5,1e-03-5e-03,5430,0.20611900869054847
Oxford,2014-11-11-11-06-25_rtk,family_a_W5,5e-03-2e-02,3115,0.1676617488614541
Oxford,2014-11-11-11-06-25_rtk,family_a_W5,2e-02-1e-01,2235,0.1324636585731914
Oxford,2014-11-11-11-06-25_rtk,family_a_W5,1e-01-1e+00,3320,0.043246017413870186
Oxford,2014-12-05-11-09-10_rtk,central,0e+00-1e-03,1139,0.3751061861888283
Oxford,2014-12-05-11-09-10_rtk,central,1e-03-5e-03,818,0.5763764333898829
Oxford,2014-12-05-11-09-10_rtk,central,5e-03-2e-02,243,0.4258848858489199
Oxford,2014-12-05-11-09-10_rtk,central,2e-02-1e-01,221,0.27697086258158615
Oxford,2014-12-05-11-09-10_rtk,central,1e-01-1e+00,519,0.10289723918395834
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,0e+00-1e-03,1139,0.22703526884404482
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,1e-03-5e-03,818,0.33798555625790294
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,5e-03-2e-02,243,0.2550049917612803
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,2e-02-1e-01,221,0.18147119159894656
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,1e-01-1e+00,519,0.05851134352707764
Oxford,2015-02-13-09-16-26_rtk,central,0e+00-1e-03,4589,0.4534933792230929
Oxford,2015-02-13-09-16-26_rtk,central,1e-03-5e-03,6495,0.46183066364686404
Oxford,2015-02-13-09-16-26_rtk,central,5e-03-2e-02,3568,0.3626904758509981
Oxford,2015-02-13-09-16-26_rtk,central,2e-02-1e-01,2646,0.27451204539333063
Oxford,2015-02-13-09-16-26_rtk,central,1e-01-1e+00,4803,0.07088263756025026
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,0e+00-1e-03,4589,0.26891286132492853
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,1e-03-5e-03,6495,0.2773719596474476
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,5e-03-2e-02,3568,0.2200227029829965
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,2e-02-1e-01,2646,0.16407157370597714
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,1e-01-1e+00,4803,0.04104320186068681
Oxford,2015-03-24-13-47-33_rtk,central,0e+00-1e-03,4671,0.2974759726713203
Oxford,2015-03-24-13-47-33_rtk,central,1e-03-5e-03,6689,0.2979565590166454
Oxford,2015-03-24-13-47-33_rtk,central,5e-03-2e-02,3686,0.22971736020539918
Oxford,2015-03-24-13-47-33_rtk,central,2e-02-1e-01,2809,0.17090622641010805
Oxford,2015-03-24-13-47-33_rtk,central,1e-01-1e+00,4466,0.0486613572390582
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,0e+00-1e-03,4671,0.19503095648082286
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,1e-03-5e-03,6689,0.1920172196311138
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,5e-03-2e-02,3686,0.14519284776798425
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,2e-02-1e-01,2809,0.10913502997999634
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,1e-01-1e+00,4466,0.03491445875504353
Oxford,2015-05-19-14-06-38_rtk,central,0e+00-1e-03,4715,0.313213343122065
Oxford,2015-05-19-14-06-38_rtk,central,1e-03-5e-03,5891,0.29757951608083966
Oxford,2015-05-19-14-06-38_rtk,central,5e-03-2e-02,3540,0.23795830848052268
Oxford,2015-05-19-14-06-38_rtk,central,2e-02-1e-01,2925,0.1764757510550374
Oxford,2015-05-19-14-06-38_rtk,central,1e-01-1e+00,5000,0.04742673763873837
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,0e+00-1e-03,4715,0.1984155247666875
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,1e-03-5e-03,5891,0.18715055166941236
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,5e-03-2e-02,3540,0.14942909700286458
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,2e-02-1e-01,2925,0.11143137523941811
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,1e-01-1e+00,5000,0.0317572666818101
Oxford,2015-07-08-13-37-17_rtk,central,0e+00-1e-03,5546,0.46269681643505367
Oxford,2015-07-08-13-37-17_rtk,central,1e-03-5e-03,5457,0.4900808443402332
Oxford,2015-07-08-13-37-17_rtk,central,5e-03-2e-02,3319,0.3583247350923071
Oxford,2015-07-08-13-37-17_rtk,central,2e-02-1e-01,3220,0.2612066609677181
Oxford,2015-07-08-13-37-17_rtk,central,1e-01-1e+00,9629,0.062158179576443685
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,0e+00-1e-03,5546,0.28017114230568624
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,1e-03-5e-03,5457,0.2910330458575002
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,5e-03-2e-02,3319,0.21884458403947168
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,2e-02-1e-01,3220,0.14792950829796495
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,1e-01-1e+00,9629,0.04256955468385442
Oxford,2015-08-12-15-04-18_rtk,central,0e+00-1e-03,5560,0.39774150619979154
Oxford,2015-08-12-15-04-18_rtk,central,1e-03-5e-03,6835,0.42962336950125585
Oxford,2015-08-12-15-04-18_rtk,central,5e-03-2e-02,3815,0.34935480498661725
Oxford,2015-08-12-15-04-18_rtk,central,2e-02-1e-01,2965,0.2575157785288919
Oxford,2015-08-12-15-04-18_rtk,central,1e-01-1e+00,3736,0.08903911513560303
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,0e+00-1e-03,5560,0.23719227180215866
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,1e-03-5e-03,6835,0.25550295370360726
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,5e-03-2e-02,3815,0.2119775401888254
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,2e-02-1e-01,2965,0.15593113673991843
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,1e-01-1e+00,3736,0.052553772046236624
Oxford,2015-08-17-13-30-19_rtk,central,0e+00-1e-03,2461,0.28672762903617827
Oxford,2015-08-17-13-30-19_rtk,central,1e-03-5e-03,4485,0.18929457781750994
Oxford,2015-08-17-13-30-19_rtk,central,5e-03-2e-02,2856,0.21744535206435758
Oxford,2015-08-17-13-30-19_rtk,central,2e-02-1e-01,2154,0.18197066473341125
Oxford,2015-08-17-13-30-19_rtk,central,1e-01-1e+00,3095,0.1069021921165528
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,0e+00-1e-03,2461,0.23298642031334785
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,1e-03-5e-03,4485,0.1451563094618222
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,5e-03-2e-02,2856,0.19154548528365703
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,2e-02-1e-01,2154,0.16201000781793343
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,1e-01-1e+00,3095,0.1054004163972551
Oxford,2015-08-27-16-07-13_rtk,central,0e+00-1e-03,11667,0.3018332461199386
Oxford,2015-08-27-16-07-13_rtk,central,1e-03-5e-03,5856,0.4897176113758103
Oxford,2015-08-27-16-07-13_rtk,central,5e-03-2e-02,3897,0.3726448643750029
Oxford,2015-08-27-16-07-13_rtk,central,2e-02-1e-01,3170,0.2780354150323401
Oxford,2015-08-27-16-07-13_rtk,central,1e-01-1e+00,3010,0.1016291538017214
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,0e+00-1e-03,11667,0.1781844883242813
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,1e-03-5e-03,5856,0.2961728641731049
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,5e-03-2e-02,3897,0.22183383876951768
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,2e-02-1e-01,3170,0.16636188527748938
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,1e-01-1e+00,3010,0.05934923288432562
Oxford,2015-11-02-10-45-59_rtk,central,0e+00-1e-03,5861,1.42797469699474
Oxford,2015-11-02-10-45-59_rtk,central,1e-03-5e-03,7012,0.15229145376700046
Oxford,2015-11-02-10-45-59_rtk,central,5e-03-2e-02,4526,0.07918997004326848
Oxford,2015-11-02-10-45-59_rtk,central,2e-02-1e-01,4075,0.05219348182816923
Oxford,2015-11-02-10-45-59_rtk,central,1e-01-1e+00,8457,0.01661819425972421
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,0e+00-1e-03,5861,1.2606015753615476
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,1e-03-5e-03,7012,0.12432645788215868
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,5e-03-2e-02,4526,0.08277798260270985
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,2e-02-1e-01,4075,0.16109630012571532
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,1e-01-1e+00,8457,0.028050895159366762
Oxford,2015-11-12-11-22-05_rtk,central,0e+00-1e-03,4184,0.5075420230574655
Oxford,2015-11-12-11-22-05_rtk,central,1e-03-5e-03,6227,0.4853360881978795
Oxford,2015-11-12-11-22-05_rtk,central,5e-03-2e-02,3694,0.3415850902553485
Oxford,2015-11-12-11-22-05_rtk,central,2e-02-1e-01,2936,0.2753943565839482
Oxford,2015-11-12-11-22-05_rtk,central,1e-01-1e+00,4660,0.08181785161346777
Oxford,2015-11-12-11-22-05_rtk,family_a_W5,0e+00-1e-03,4184,0.30028685434263974
Oxford,2015-11-12-11-22-05_rtk,family_a_W5,1e-03-5e-03,6227,0.2935262327025726
Oxford,2015-11-12-11-22-05_rtk,family_a_W5,5e-03-2e-02,3694,0.19830920433314686
Oxford,2015-11-12-11-22-05_rtk,family_a_W5,2e-02-1e-01,2936,0.16646029893010145
Oxford,2015-11-12-11-22-05_rtk,family_a_W5,1e-01-1e+00,4660,0.05006321890248179
nuScenes,scene-0001,central,0e+00-1e-03,36,0.10642956040242185
nuScenes,scene-0001,central,1e-03-5e-03,61,0.11898079137901522
nuScenes,scene-0001,central,5e-03-2e-02,67,0.10276991784189506
nuScenes,scene-0001,central,2e-02-1e-01,26,0.11086248280333515
nuScenes,scene-0001,family_a_W5,0e+00-1e-03,36,0.09330087830557426
nuScenes,scene-0001,family_a_W5,1e-03-5e-03,61,0.11140128250897151
nuScenes,scene-0001,family_a_W5,5e-03-2e-02,67,0.09433154111648145
nuScenes,scene-0001,family_a_W5,2e-02-1e-01,26,0.10330850939577554
nuScenes,scene-0053,central,0e+00-1e-03,28,0.2567363427304198
nuScenes,scene-0053,central,1e-03-5e-03,26,0.25490658192919635
nuScenes,scene-0053,central,5e-03-2e-02,137,0.24483602257441617
nuScenes,scene-0053,family_a_W5,0e+00-1e-03,28,0.2502995120467165
nuScenes,scene-0053,family_a_W5,1e-03-5e-03,26,0.2547462031973795
nuScenes,scene-0053,family_a_W5,5e-03-2e-02,137,0.24119218765001985
nuScenes,scene-0103,central,0e+00-1e-03,68,0.16936329237891615
nuScenes,scene-0103,central,1e-03-5e-03,91,0.1725930979430643
nuScenes,scene-0103,central,5e-03-2e-02,35,0.20461165401956632
nuScenes,scene-0103,family_a_W5,0e+00-1e-03,68,0.16209696961308978
nuScenes,scene-0103,family_a_W5,1e-03-5e-03,91,0.171788267237612
nuScenes,scene-0103,family_a_W5,5e-03-2e-02,35,0.20030049545493314
nuScenes,scene-0158,central,0e+00-1e-03,20,0.16527657421909517
nuScenes,scene-0158,central,1e-03-5e-03,48,0.13133960328607022
nuScenes,scene-0158,central,5e-03-2e-02,46,0.07764909727578932
nuScenes,scene-0158,central,2e-02-1e-01,42,0.05753486991077006
nuScenes,scene-0158,central,1e-01-1e+00,37,0.027091351512692197
nuScenes,scene-0158,family_a_W5,0e+00-1e-03,20,0.16001919710065715
nuScenes,scene-0158,family_a_W5,1e-03-5e-03,48,0.1269364043587609
nuScenes,scene-0158,family_a_W5,5e-03-2e-02,46,0.06888111702709461
nuScenes,scene-0158,family_a_W5,2e-02-1e-01,42,0.05307620826630077
nuScenes,scene-0158,family_a_W5,1e-01-1e+00,37,0.027824792821800223
nuScenes,scene-0234,central,0e+00-1e-03,43,0.037838282683469296
nuScenes,scene-0234,central,1e-03-5e-03,32,0.10467692339598142
nuScenes,scene-0234,central,5e-03-2e-02,39,0.16706002687297525
nuScenes,scene-0234,central,2e-02-1e-01,74,0.10517356125073248
nuScenes,scene-0234,family_a_W5,0e+00-1e-03,43,0.02939322104292273
nuScenes,scene-0234,family_a_W5,1e-03-5e-03,32,0.0815140396956013
nuScenes,scene-0234,family_a_W5,5e-03-2e-02,39,0.16315794175990778
nuScenes,scene-0234,family_a_W5,2e-02-1e-01,74,0.09864767948420852
nuScenes,scene-0285,central,0e+00-1e-03,67,0.15443247660742862
nuScenes,scene-0285,central,1e-03-5e-03,93,0.17091074873913467
nuScenes,scene-0285,central,5e-03-2e-02,35,0.1698100913559459
nuScenes,scene-0285,family_a_W5,0e+00-1e-03,67,0.13739479888660955
nuScenes,scene-0285,family_a_W5,1e-03-5e-03,93,0.16267965118487912
nuScenes,scene-0285,family_a_W5,5e-03-2e-02,35,0.1554652405678627
nuScenes,scene-0347,central,0e+00-1e-03,24,0.21374840590637634
nuScenes,scene-0347,central,1e-03-5e-03,54,0.18157881608324092
nuScenes,scene-0347,central,5e-03-2e-02,72,0.13434087652255658
nuScenes,scene-0347,central,2e-02-1e-01,20,0.10907099908570649
nuScenes,scene-0347,central,1e-01-1e+00,20,0.07441814317898005
nuScenes,scene-0347,family_a_W5,0e+00-1e-03,24,0.19631764032775945
nuScenes,scene-0347,family_a_W5,1e-03-5e-03,54,0.1797343384307384
nuScenes,scene-0347,family_a_W5,5e-03-2e-02,72,0.11695184637400206
nuScenes,scene-0347,family_a_W5,2e-02-1e-01,20,0.07491351286538946
nuScenes,scene-0347,family_a_W5,1e-01-1e+00,20,0.07578890723292228
nuScenes,scene-0398,central,0e+00-1e-03,28,0.1057647275605655
nuScenes,scene-0398,central,1e-03-5e-03,64,0.10549170625299938
nuScenes,scene-0398,central,5e-03-2e-02,61,0.17999416240135435
nuScenes,scene-0398,central,2e-02-1e-01,43,0.12493297555127036
nuScenes,scene-0398,family_a_W5,0e+00-1e-03,28,0.09934460782099377
nuScenes,scene-0398,family_a_W5,1e-03-5e-03,64,0.09345210005223546
nuScenes,scene-0398,family_a_W5,5e-03-2e-02,61,0.17442891375927716
nuScenes,scene-0398,family_a_W5,2e-02-1e-01,43,0.12449262441013492
nuScenes,scene-0450,central,0e+00-1e-03,49,0.24471513322902042
nuScenes,scene-0450,central,1e-03-5e-03,67,0.2475484264810837
nuScenes,scene-0450,central,5e-03-2e-02,54,0.16397534796908028
nuScenes,scene-0450,central,2e-02-1e-01,25,0.11537137342334464
nuScenes,scene-0450,family_a_W5,0e+00-1e-03,49,0.2393007391287704
nuScenes,scene-0450,family_a_W5,1e-03-5e-03,67,0.23442961205902121
nuScenes,scene-0450,family_a_W5,5e-03-2e-02,54,0.15392773037445637
nuScenes,scene-0450,family_a_W5,2e-02-1e-01,25,0.11574327056243346
nuScenes,scene-0505,central,0e+00-1e-03,135,0.19662654250093112
nuScenes,scene-0505,central,1e-03-5e-03,58,0.20225853633258833
nuScenes,scene-0505,family_a_W5,0e+00-1e-03,135,0.19171644714049008
nuScenes,scene-0505,family_a_W5,1e-03-5e-03,58,0.19275964112889915
nuScenes,scene-0557,central,5e-03-2e-02,82,0.15050087115040453
nuScenes,scene-0557,central,2e-02-1e-01,22,0.1601529702439753
nuScenes,scene-0557,central,1e-01-1e+00,71,0.024386990127419635
nuScenes,scene-0557,family_a_W5,5e-03-2e-02,82,0.14310078014124686
nuScenes,scene-0557,family_a_W5,2e-02-1e-01,22,0.149178573400222
nuScenes,scene-0557,family_a_W5,1e-01-1e+00,71,0.0177997584875912
nuScenes,scene-0612,central,0e+00-1e-03,65,0.12532589220768503
nuScenes,scene-0612,central,1e-03-5e-03,65,0.1392779636466709
nuScenes,scene-0612,central,5e-03-2e-02,21,0.11687705847827931
nuScenes,scene-0612,central,2e-02-1e-01,47,0.09067957964192147
nuScenes,scene-0612,family_a_W5,0e+00-1e-03,65,0.12057946822956706
nuScenes,scene-0612,family_a_W5,1e-03-5e-03,65,0.13239045353284642
nuScenes,scene-0612,family_a_W5,5e-03-2e-02,21,0.1034185125364516
nuScenes,scene-0612,family_a_W5,2e-02-1e-01,47,0.08309913564321682
nuScenes,scene-0664,central,0e+00-1e-03,20,0.3375716777220281
nuScenes,scene-0664,central,1e-03-5e-03,85,0.27852176784618465
nuScenes,scene-0664,central,5e-03-2e-02,54,0.1636170593566816
nuScenes,scene-0664,central,2e-02-1e-01,40,0.10068065272315398
nuScenes,scene-0664,family_a_W5,0e+00-1e-03,20,0.32188589025214676
nuScenes,scene-0664,family_a_W5,1e-03-5e-03,85,0.26040155708755097
nuScenes,scene-0664,family_a_W5,5e-03-2e-02,54,0.139921951719577
nuScenes,scene-0664,family_a_W5,2e-02-1e-01,40,0.08558769427075534
nuScenes,scene-0730,central,0e+00-1e-03,67,0.15359609267052432
nuScenes,scene-0730,central,1e-03-5e-03,69,0.18635720303550216
nuScenes,scene-0730,central,1e-01-1e+00,49,0.1441746830982883
nuScenes,scene-0730,family_a_W5,0e+00-1e-03,67,0.14417451859422148
nuScenes,scene-0730,family_a_W5,1e-03-5e-03,69,0.1788654203832277
nuScenes,scene-0730,family_a_W5,1e-01-1e+00,49,0.13410966996558338
nuScenes,scene-0798,central,0e+00-1e-03,97,0.19114196995818541
nuScenes,scene-0798,central,1e-03-5e-03,74,0.2199333802412837
nuScenes,scene-0798,family_a_W5,0e+00-1e-03,97,0.1815912767446964
nuScenes,scene-0798,family_a_W5,1e-03-5e-03,74,0.21254176292716542
nuScenes,scene-0860,central,0e+00-1e-03,37,0.09016983827518421
nuScenes,scene-0860,central,1e-03-5e-03,47,0.10552281351509378
nuScenes,scene-0860,central,1e-01-1e+00,94,0.028085598052578212
nuScenes,scene-0860,family_a_W5,0e+00-1e-03,37,0.08834961013870882
nuScenes,scene-0860,family_a_W5,1e-03-5e-03,47,0.09122651948143289
nuScenes,scene-0860,family_a_W5,1e-01-1e+00,94,0.027161494436336413
nuScenes,scene-0914,central,0e+00-1e-03,44,0.08327380991005266
nuScenes,scene-0914,central,1e-03-5e-03,62,0.09923586709518364
nuScenes,scene-0914,central,5e-03-2e-02,44,0.14068055842732935
nuScenes,scene-0914,central,2e-02-1e-01,47,0.09789505662010707
nuScenes,scene-0914,family_a_W5,0e+00-1e-03,44,0.06809386816184888
nuScenes,scene-0914,family_a_W5,1e-03-5e-03,62,0.09615655442998909
nuScenes,scene-0914,family_a_W5,5e-03-2e-02,44,0.13747279599200896
nuScenes,scene-0914,family_a_W5,2e-02-1e-01,47,0.09241619222743157
nuScenes,scene-0977,central,0e+00-1e-03,195,3.0549313529443776e-05
nuScenes,scene-0977,family_a_W5,0e+00-1e-03,195,2.6291472538116315e-05
nuScenes,scene-1031,central,0e+00-1e-03,134,0.20192157919187156
nuScenes,scene-1031,central,1e-03-5e-03,65,0.18206606489939664
nuScenes,scene-1031,family_a_W5,0e+00-1e-03,134,0.1916708363145518
nuScenes,scene-1031,family_a_W5,1e-03-5e-03,65,0.17892832121030508
nuScenes,scene-1081,central,0e+00-1e-03,22,0.2611862657530051
nuScenes,scene-1081,central,1e-03-5e-03,57,0.16636100458079497
nuScenes,scene-1081,central,5e-03-2e-02,64,0.1337990875253714
nuScenes,scene-1081,central,1e-01-1e+00,51,0.03136139138443085
nuScenes,scene-1081,family_a_W5,0e+00-1e-03,22,0.2574215753597926
nuScenes,scene-1081,family_a_W5,1e-03-5e-03,57,0.15267632898183112
nuScenes,scene-1081,family_a_W5,5e-03-2e-02,64,0.13160604350925859
nuScenes,scene-1081,family_a_W5,1e-01-1e+00,51,0.03596512332707459
KITTI raw,2011_09_30_drive_0028_sync,central,0e+00-1e-03,1052,0.15744324335873747
KITTI raw,2011_09_30_drive_0028_sync,central,1e-03-5e-03,1745,0.6215220044494879
KITTI raw,2011_09_30_drive_0028_sync,central,5e-03-2e-02,1055,0.8139125917830298
KITTI raw,2011_09_30_drive_0028_sync,central,2e-02-1e-01,962,0.6535303651433068
KITTI raw,2011_09_30_drive_0028_sync,central,1e-01-1e+00,363,0.41817566668820394
KITTI raw,2011_09_30_drive_0028_sync,family_a_W5,0e+00-1e-03,1052,0.15875844802718697
KITTI raw,2011_09_30_drive_0028_sync,family_a_W5,1e-03-5e-03,1745,0.6039234919885117
KITTI raw,2011_09_30_drive_0028_sync,family_a_W5,5e-03-2e-02,1055,0.7550705851073006
KITTI raw,2011_09_30_drive_0028_sync,family_a_W5,2e-02-1e-01,962,0.648522937057486
KITTI raw,2011_09_30_drive_0028_sync,family_a_W5,1e-01-1e+00,363,0.4100347252638569
KITTI raw,2011_10_03_drive_0027_sync,central,0e+00-1e-03,1019,0.15937453561338746
KITTI raw,2011_10_03_drive_0027_sync,central,1e-03-5e-03,1630,0.08825830078520748
KITTI raw,2011_10_03_drive_0027_sync,central,5e-03-2e-02,828,0.12573493556635587
KITTI raw,2011_10_03_drive_0027_sync,central,2e-02-1e-01,663,0.17537909764112575
KITTI raw,2011_10_03_drive_0027_sync,central,1e-01-1e+00,404,0.16978962756139165
KITTI raw,2011_10_03_drive_0027_sync,family_a_W5,0e+00-1e-03,1019,0.16228309538443886
KITTI raw,2011_10_03_drive_0027_sync,family_a_W5,1e-03-5e-03,1630,0.08646209796092333
KITTI raw,2011_10_03_drive_0027_sync,family_a_W5,5e-03-2e-02,828,0.12568296319140923
KITTI raw,2011_10_03_drive_0027_sync,family_a_W5,2e-02-1e-01,663,0.16399449245511766
KITTI raw,2011_10_03_drive_0027_sync,family_a_W5,1e-01-1e+00,404,0.1547439955687011
KITTI raw,2011_10_03_drive_0034_sync,central,0e+00-1e-03,1040,0.09478629841883295
KITTI raw,2011_10_03_drive_0034_sync,central,1e-03-5e-03,1776,0.0829680483774732
KITTI raw,2011_10_03_drive_0034_sync,central,5e-03-2e-02,1051,0.10228767825521247
KITTI raw,2011_10_03_drive_0034_sync,central,2e-02-1e-01,719,0.12446224523201355
KITTI raw,2011_10_03_drive_0034_sync,central,1e-01-1e+00,77,0.11101235836330584
KITTI raw,2011_10_03_drive_0034_sync,family_a_W5,0e+00-1e-03,1040,0.09506907554116993
